time,open,high,low,close,Equity,Exposure
2020-05-20T14:00:00+08:00,9754.36,9842,9651,9780,9579.107845,1.2
2020-05-20T17:00:00+08:00,9780,9810,9715,9731.21,9522.100633,1.2
2020-05-20T20:00:00+08:00,9731.22,9799,9721.34,9765.09,9561.686703,1.2
2020-05-20T23:00:00+08:00,9765.47,9767.84,9326,9539.47,9298.067783,1.2
2020-05-21T02:00:00+08:00,9539.23,9598,9485,9588.58,9355.448889,1.2
2020-05-21T05:00:00+08:00,9588.5,9589.95,9435.87,9511.43,9265.305286,1.2
2020-05-21T08:00:00+08:00,9511.43,9578.47,9458.24,9472.05,9219.292906,1.2
2020-05-21T11:00:00+08:00,9472.11,9521.71,9400,9503.1,9255.572347,1.2
2020-05-21T14:00:00+08:00,9503.09,9532.39,9268,9377.66,9109.005742,1.2
2020-05-21T17:00:00+08:00,9377.73,9432.7,9228,9389.97,9123.388993,1.2
2020-05-21T20:00:00+08:00,9389.97,9395.43,8949.74,9084,8765.887525,1.2
2020-05-21T23:00:00+08:00,9084.14,9155,8970,9006.99,8675.907501,1.2
2020-05-22T02:00:00+08:00,9006.99,9100,8815,9055.26,8732.307134,1.2
2020-05-22T05:00:00+08:00,9055.1,9164.99,9034.73,9068.65,8747.952278,1.2
2020-05-22T08:00:00+08:00,9067.51,9133.62,8970.01,9041.64,8716.393254,1.2
2020-05-22T11:00:00+08:00,9041.59,9076.47,8933.52,9047.99,8723.812721,1.2
2020-05-22T14:00:00+08:00,9047.99,9120,9033,9092.99,8776.391621,1.2
2020-05-22T17:00:00+08:00,9092.99,9206.92,9060,9166,8861.697965,1.2
2020-05-22T20:00:00+08:00,9166,9205.17,9079.78,9135.02,8825.500314,1.2
2020-05-22T23:00:00+08:00,9134.96,9271,9134.93,9192.92,8893.151832,1.2
2020-05-23T02:00:00+08:00,9192.57,9224,9130.6,9177.79,8875.473637,1.2
2020-05-23T05:00:00+08:00,9177.28,9215,9131.12,9170,8866.371645,1.2
2020-05-23T08:00:00+08:00,9170,9289,9169.99,9271.27,8984.697539,1.2
2020-05-23T11:00:00+08:00,9271.27,9307.85,9231,9263.34,8975.431968,1.2
2020-05-23T14:00:00+08:00,9263.33,9268.11,9164.35,9187.84,8887.216258,1.2
2020-05-23T17:00:00+08:00,9188.27,9200,9096.07,9172.25,8869.00059,1.2
2020-05-23T20:00:00+08:00,9172.26,9220,9070,9198.56,8899.74172,1.2
