time,open,high,low,close,1 Long Short,1 Long Short Exposure,1.2 Long Short,1.2 Long Short Exposure,1 Old long,1 Old long Exposure,1.2 Old long,1.2 Old long Exposure,1 New long,1 New long Exposure,1.2 New long,1.2 New long Exposure
2020-05-10T02:00:00+08:00,9774.98,9786.35,9600,9655.28,10057.10264,1,10057.10264,1,10479.47052,0.9,10479.47052,0.9,10467.49772,1,10467.49772,1
2020-05-10T05:00:00+08:00,9655.32,9677.99,9525,9539.4,9936.316278,1,9936.316278,1,10365.77833,0.9,10365.77833,0.9,10341.87337,1,10341.87337,1
2020-05-10T08:00:00+08:00,9539.1,9574.83,8117,8661.49,9021.235568,-1,9021.235568,-1,9504.443276,0.1,9504.443276,0.1,9390.139916,0.01,9390.139916,0.01
2020-05-10T11:00:00+08:00,8661.86,8673,8316,8621.06,9014.828951,-1,9014.828951,-1,9464.776594,0.1,9464.776594,0.1,9346.310157,0.01,9346.310157,0.01
2020-05-10T14:00:00+08:00,8621.15,8900,8554.67,8811.66,8808.836303,-1,8808.836303,-1,9485.780988,0.1,9485.780988,0.1,9348.474759,0.01,9348.474759,0.01
2020-05-10T17:00:00+08:00,8812.72,8850,8645,8737.35,8886.540041,-1,8886.540041,-1,9477.622493,0.1,9477.622493,0.1,9347.668495,0.01,9347.668495,0.01
2020-05-10T20:00:00+08:00,8736.57,8817,8600.95,8659.82,8967.610836,-1,8967.610836,-1,9469.110474,0.1,9469.110474,0.1,9346.827295,0.01,9346.827295,0.01
2020-05-10T23:00:00+08:00,8659.81,8716.45,8255,8527.85,9105.607906,-1,9105.607906,-1,9454.621488,0.1,9454.621488,0.1,9345.39542,0.01,9345.39542,0.01
2020-05-11T02:00:00+08:00,8527.85,8784.66,8421.17,8663.94,8963.302675,-1,8963.302675,-1,9469.562809,0.1,9469.562809,0.1,9346.871997,0.01,9346.871997,0.01
2020-05-11T05:00:00+08:00,8663.85,8837.28,8540.41,8722.77,8901.785909,-1,8901.785909,-1,9476.021755,0.1,9476.021755,0.1,9347.510302,0.01,9347.510302,0.01
2020-05-11T08:00:00+08:00,8722.77,8805.14,8684.9,8748.07,8875.330458,-1,8875.330458,-1,9478.799442,0.1,9478.799442,0.1,9347.784807,0.01,9347.784807,0.01
2020-05-11T11:00:00+08:00,8747.18,8768,8613.01,8689.26,8936.826311,-1,8936.826311,-1,9472.342692,0.1,9472.342692,0.1,9347.146719,0.01,9347.146719,0.01
2020-05-11T14:00:00+08:00,8689.26,8732.23,8566.01,8636.07,8992.445498,-1,8992.445498,-1,9466.502962,0.1,9466.502962,0.1,9346.569607,0.01,9346.569607,0.01
2020-05-11T17:00:00+08:00,8635.84,8990,8478,8927.43,8687.779087,-1,8687.779087,-1,9498.491376,0.1,9498.491376,0.1,9349.730863,0.01,9349.730863,0.01
2020-05-11T20:00:00+08:00,8926.17,9168,8725.35,8871.89,8745.855599,-1,8745.855599,-1,9492.393639,0.1,9492.393639,0.1,9349.128254,0.01,9349.128254,0.01
2020-05-11T23:00:00+08:00,8871.57,8956.01,8325,8506.76,9127.661086,-1,9127.661086,-1,9452.306017,0.1,9452.306017,0.1,9345.166594,0.01,9345.166594,0.01
2020-05-12T02:00:00+08:00,8503.55,8807,8200,8630.16,8998.625408,-1,8998.625408,-1,9465.854103,0.1,9465.854103,0.1,9346.505484,0.01,9346.505484,0.01
2020-05-12T05:00:00+08:00,8630.36,8700,8459.28,8561.52,9070.400197,-1,9070.400197,-1,9458.318117,0.1,9458.318117,0.1,9345.76074,0.01,9345.76074,0.01
2020-05-12T08:00:00+08:00,8562.04,8685.71,8528.78,8637.51,8990.939733,-1,8990.939733,-1,9466.661059,0.1,9466.661059,0.1,9346.585231,0.01,9346.585231,0.01
2020-05-12T11:00:00+08:00,8637.05,8785,8632.51,8730.75,8893.441463,-1,8893.441463,-1,9476.897879,0.1,9476.897879,0.1,9347.596885,0.01,9347.596885,0.01
2020-05-12T14:00:00+08:00,8730.75,8764.93,8614.98,8749.75,8873.573733,-1,8873.573733,-1,9478.983889,0.1,9478.983889,0.1,9347.803035,0.01,9347.803035,0.01
2020-05-12T17:00:00+08:00,8748.82,8828.72,8725.52,8800.92,8820.066799,-1,8820.066799,-1,9484.601843,0.1,9484.601843,0.1,9348.35823,0.01,9348.35823,0.01
2020-05-12T20:00:00+08:00,8800.91,8917.72,8659,8887.26,8729.783651,-1,8729.783651,-1,9494.081112,0.1,9494.081112,0.1,9349.295019,0.01,9349.295019,0.01
